Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
810,CHEVO,SUV - SMALL,5.7,8,A9,Z,5.62 L/100km,5.51 km/L,11.25 L/100 km,226
811,BMV,COMPACT,3,6,M6,Z,15.53 mpg Imp.,8.97 MPG (AS),10.79 MPG (AS),266
812,CHEVO,SUV - SMALL,2.4,4,A6,X,16.59 mpg Imp.,1.16 L/10km,16.11 MPG (AS),219
813,GONDA,COMPACT,2,4,M6,X,0.32 L/10km,13.33 MPG (AS),9.68 liters per 100 km,152
814,DOGE,MID-SIZE,2,4,A8,Z,,16.45 km per L,12.23 L/100 km,336
815,JIPU,SUV - SMALL,3.2,6,A9,X,14.73 L/100 km,22.52 km per L,23.28 MPG (AS),253
816,FOLD,SUBCOMPACT,2.3,4,AS10,X,5.20 km per L,24.76 MPG (AS),14.86 L/100 km,222
817,MATSUDA,COMPACT,2.5,4,AS6,X,-9999,11.71 liters per 100 km,9.75 liters per 100 km,179
818,JIPU,SUV - SMALL,2.4,4,A9,E,0.53 L/10km,732.93 mpg Imp.,3.10 L/100 km,212
819,FOLD,SUBCOMPACT,1,unknown,M5,X,0.86 L/100km,28.00 MPG (AS),0.43 L/10km,170
820,BMV,COMPACT,3,6,AS8,Z,,9.89 L/100km,6.13 km per L,222
821,CHEVO,PICKUP TRUCK - STANDARD,,8,A10,unestablished,5.10 km per L,67.25 km/L,20.55 MPG (AS),391
822,NIRRAN,SUV - SMALL,3,6,AV,X,33.94 MPG (AS),18.24 liters per 100 km,12.02 L/100 km,257
823,DOGE,FULL-SIZE,unknown,,unestablished,E,162.66 MPG (AS),6.96 km per L,7.26 L/100 km,218
824,CHEVO,MID-SIZE,1.4,4,M6,X,30.89 liters per 100 km,52.27 mpg Imp.,5.15 km per L,172
825,TOLVO,STATION WAGON - SMALL,,4,AS8,Z,11.44 mpg Imp.,8.11 liters per 100 km,1.72 L/10km,224
826,TOYOTI,PICKUP TRUCK - SMALL,3.5,6,AS6,X,1.18 L/10km,8.15 L/100km,9.85 km/L,269
827,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,2.62 km per L,13.49 liters per 100 km,27.06 L/100 km,265
828,CHEVO,SUV - STANDARD,5.3,8,A6,X,4.77 L/100km,79.67 mpg Imp.,23.70 km per L,328
829,DOGE,SUV - SMALL,3.6,6,A6,X,8.27 L/100 km,23.06 L/100 km,18.93 mpg Imp.,296
830,MATSUDA,MID-SIZE,2.5,4,,X,4.04 km/L,10.30 km per L,17.99 L/100 km,137
831,MATSUDA,SUV - SMALL,,4,AS6,X,4.81 L/100km,22.62 liters per 100 km,18.34 MPG (AS),196
832,BMV,MID-SIZE,3,,AS8,Z,not-available,0.26 L/10km,11.22 km per L,223
833,CHEVO,MID-SIZE,1.8,4,AV,X,0.60 L/100km,14.94 km per L,3.34 L/100 km,122
834,DOGE,FULL-SIZE,3.6,6,A8,X,16.01 MPG (AS),8.87 km per L,13.15 liters per 100 km,248
835,TOLVO,COMPACT,2,4,AS8,X,10.70 L/100 km,14.93 mpg Imp.,6.94 km per L,197
836,BMV,COMPACT,3,6,M6,Z,11.41 MPG (AS),57.64 mpg Imp.,7.38 km/L,227
837,BMV,SUV - SMALL,2,4,AS8,Z,17.19 L/100 km,11.64 km per L,21.20 mpg Imp.,239
838,FOLD,SUV - SMALL,2.5,4,AS6,na,7.09 L/100km,6.02 L/100 km,6.61 L/100 km,216
839,TOYOTI,MID-SIZE,3.5,6,AS6,X,14.51 L/100km,11.97 L/100km,13.37 L/100 km,220
840,BARUSU,MID-SIZE,2,4,AV7,X,19.47 L/100km,54.25 MPG (AS),12.66 liters per 100 km,140
841,CHEVO,MID-SIZE,1.4,4,M6,X,4.98 mpg Imp.,17.48 L/100 km,39.08 L/100km,194
842,FIAR,unspecified,2,missing,A6,X,,19.74 liters per 100 km,21.49 L/100km,195
843,BARUSU,SUV - STANDARD,unestablished,4,AV8,X,22.69 mpg Imp.,15.44 liters per 100 km,7.25 km/L,234
844,NIRRAN,MID-SIZE,,4,M6,X,2.79 L/10km,2.17 liters per 100 km,6.14 km/L,190
845,TOYOTI,SUV - SMALL,,4,AS6,X,8.07 liters per 100 km,2.26 L/100 km,18.34 km per L,230
846,FIAR,SUV - SMALL,2.4,4,A9,X,3.77 L/10km,8.55 liters per 100 km,4.07 km/L,221
847,NIRRAN,STATION WAGON - MID-SIZE,3.5,6,AV7,X,4.39 liters per 100 km,,18.95 km/L,234
848,BMV,SUV - STANDARD,,8,AS8,Z,18.49 MPG (AS),22.72 L/100 km,1.72 L/10km,316
849,LECUS,SUBCOMPACT,5,8,AS8,missing,3.54 km per L,0.50 L/10km,17.80 liters per 100 km,297
850,CHEVO,COMPACT,,4,AS6,X,30.15 MPG (AS),4.32 L/100 km,6.23 L/100km,171
851,TOYOTI,COMPACT,unknown,-1,M5,X,48.23 mpg Imp.,8.62 km per L,,160
852,MITSU,COMPACT,1.2,3,M5,X,5.81 km/L,7.32 L/100km,12.77 liters per 100 km,176
853,BARUSU,STATION WAGON - SMALL,2,4,M5,X,7.26 km/L,0.31 L/10km,11.16 km per L,209
854,RYUNDAI,MID-SIZE,,4,AS6,X,7.77 km/L,0.70 L/10km,9.79 km per L,196
855,BMV,FULL-SIZE,2.5,4,AS8,Z,8.25 MPG (AS),11.10 L/100 km,20.67 liters per 100 km,293
856,TOYOTI,COMPACT,1.5,4,AV,X,7.08 liters per 100 km,11.12 km per L,7.94 liters per 100 km,180
857,TOYOTI,MID-SIZE,2.5,4,AV,X,12.81 liters per 100 km,0.59 L/10km,9.68 L/100km,151
858,BMV,COMPACT,3,6,AS8,Z,6.93 km per L,7.67 km/L,7.24 km/L,242
859,MATSUDA,not-recorded,2.5,4,M6,X,56.85 mpg Imp.,21.69 liters per 100 km,1.25 L/10km,373.7166301
860,NIRRAN,SUV - SMALL,5.3,,AV,X,41.60 liters per 100 km,6.38 km/L,7.86 MPG (AS),262
861,CHEVO,SUV - STANDARD,,8,A6,E,11.39 L/100 km,5.41 L/100km,8.70 L/100km,311
862,FIAR,STATION WAGON - SMALL,2.4,4,A6,,3.05 L/100 km,4.38 km/L,23.61 mpg Imp.,224
863,MATSUDA,SUV - SMALL,2.4,4,AS6,X,19.80 mpg Imp.,0.28 L/10km,31.02 mpg Imp.,207
864,BARUSU,SUV - SMALL,3.6,6,AV6,unspecified,22.44 mpg Imp.,3.09 liters per 100 km,28.30 MPG (AS),256
865,NIRRAN,COMPACT,1.6,4,M5,not-recorded,6.53 km per L,2.75 L/100km,9.66 liters per 100 km,188
866,BMV,COMPACT,4.4,8,M6,Z,17.97 L/100km,19.05 MPG (AS),6.48 km/L,339
867,DOGE,SUV - SMALL,1.5,4,A4,X,3.71 L/10km,4.26 km per L,7.59 MPG (AS),244
868,LAND CRAWLER,SUV - STANDARD,,,AS8,Z,18.19 MPG (AS),7.91 L/100 km,9.37 km per L,358
869,BARUSU,SUV - SMALL,,4,AS5,X,3.43 L/100 km,13.59 MPG (AS),24.31 MPG (AS),281
870,NIRRAN,STATION WAGON - SMALL,1.6,4,AV8,Z,6.23 km per L,0,16.48 mpg Imp.,204
871,CADILUXE,COMPACT,2,4,AS6,Z,14.35 MPG (AS),29.72 L/100 km,10.51 MPG (AS),232
872,CHEVO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,8.75 km/L,7.06 liters per 100 km,0.95 L/10km,292
873,MATSUDA,COMPACT,,4,M6,X,9.80 km per L,10.84 L/100 km,22.43 MPG (AS),200
874,NIRRAN,PICKUP TRUCK - SMALL,4,6,M6,X,9.46 L/100km,13.31 liters per 100 km,25.24 mpg Imp.,311
875,DOGE,FULL-SIZE,5.7,8,A5,X,71.29 MPG (AS),35.20 km/L,32.33 km/L,313
876,FOLD,PICKUP TRUCK - STANDARD,2.5,4,AS10,D,20.07 L/100 km,35.67 km per L,19.13 MPG (AS),263
877,FOLD,VAN - CARGO,4.6,8,A4,X,10.57 MPG (AS),24.25 MPG (AS),1.66 L/10km,380
878,BMV,SUV - STANDARD,4.4,unspecified,AS8,Z,10.24 L/100km,4.88 km/L,6.73 km per L,379
879,TOYOTI,PICKUP TRUCK - SMALL,,4,AS6,X,34.47 liters per 100 km,12.19 liters per 100 km,24.44 L/100 km,267
880,FOLD,VAN - PASSENGER,,4,AS10,X,77.24 mpg Imp.,0.85 L/10km,40.42 MPG (AS),356
881,BARUSU,MINICOMPACT,,not-recorded,AS6,Z,0.84 L/10km,14.92 km/L,30.69 MPG (AS),182
882,FOLD,COMPACT,2,4,not-available,E,0.43 L/100km,-1,46.26 km per L,148
883,JIPU,SUV - SMALL,3.6,6,M6,X,11.47 L/100km,,15.93 MPG (AS),288
884,FIAR,MINICOMPACT,3.6,6,M5,X,7.96 km per L,3954.40 km/L,33.98 MPG (AS),167
885,JIPU,SUV - STANDARD,6.4,,A8,Z,11.73 km/L,0.80 liters per 100 km,0.50 L/10km,356
886,TOYOTI,COMPACT,2.3,4,M6,X,13.12 L/100 km,34.91 km per L,0,181
887,CADILUXE,MID-SIZE,6.2,8,AS8,Z,4.84 km per L,8.90 mpg Imp.,3.90 km/L,218
888,FOLD,SUBCOMPACT,,8,missing,Z,23.05 L/100km,19.93 mpg Imp.,19.06 L/100 km,373
889,FOLD,SUV - STANDARD,not-available,6,AS6,X,10.47 km per L,17.90 L/100km,21.23 mpg Imp.,299
890,CHEVO,COMPACT,6.2,8,M6,Z,6.64 km per L,23.64 L/100 km,14.93 mpg Imp.,369
891,CHEVO,unknown,1.4,4,M6,X,20.41 km per L,-1,8.77 L/100 km,173
892,CHEVO,MID-SIZE,,4,AS6,X,11.08 liters per 100 km,30.33 km per L,7.58 L/100 km,193
893,TOLVO,COMPACT,3,6,AS6,X,8.38 km per L,33.34 MPG (AS),10.27 km/L,248
894,MATSUDA,SUV - SMALL,2.5,4,AS6,X,24.69 MPG (AS),11.11 km/L,0.93 L/10km,229
895,LECUS,SUV - STANDARD,3.5,6,AV6,Z,6.86 km/L,,11.33 L/100 km,195
896,KIO,,2.4,4,AS6,not-available,1.73 L/10km,8.19 km per L,18.83 mpg Imp.,217
897,TOLVO,STATION WAGON - SMALL,5.3,8,AS8,Z,10.59 km per L,5.43 liters per 100 km,7.64 L/100km,218
898,LECUS,MID-SIZE,unspecified,6,AS6,X,7.31 liters per 100 km,70.08 MPG (AS),51.07 mpg Imp.,225
899,NIRRAN,PICKUP TRUCK - SMALL,2.5,4,M5,X,9.37 km/L,50.71 MPG (AS),12.56 km per L,277
900,BMV,COMPACT,3.5,6,M6,Z,2.71 L/10km,49.18 MPG (AS),17.07 L/100km,273
901,FOLD,MID-SIZE,2,4,M6,X,87.31 MPG (AS),41.11 km per L,2.58 liters per 100 km,219
902,ASURA,COMPACT,3.5,6,AS9,Z,4.18 L/100km,55.35 MPG (AS),23.73 km per L,222
903,BMV,SUBCOMPACT,3,,AS8,Z,29.23 MPG (AS),40.10 MPG (AS),14.15 km/L,237
904,MATSUDA,MID-SIZE,2.5,4,AS6,X,7.26 liters per 100 km,0.46 L/10km,6.07 liters per 100 km,185
905,FOLD,SUV - SMALL,2.7,6,AS6,X,10.90 L/100km,8.18 km/L,20.46 MPG (AS),268
906,CHEVO,TWO-SEATER,6.2,missing,M7,Z,2.10 L/10km,not-available,8.16 km/L,254
907,ASURA,COMPACT,3.5,,AS9,Z,4.04 mpg Imp.,10.17 km per L,6.59 mpg Imp.,226
908,CHEVO,SUBCOMPACT,6.2,,AS10,Z,6.23 km/L,13.20 L/100km,6.77 km/L,350
909,ASURA,MID-SIZE,3.5,6,AS6,Z,7.54 L/100km,26.21 km per L,40.12 MPG (AS),237
910,FOLKSWA,COMPACT,3.6,,AS6,X,17.46 km per L,18.65 MPG (AS),32.01 mpg Imp.,268
911,TOYOTI,MID-SIZE,,4,AV,X,7.15 km per L,3.75 liters per 100 km,9.38 L/100 km,120
912,CHEVO,COMPACT,unspecified,4,AS6,X,0.62 L/100 km,11.15 km/L,53.72 MPG (AS),112
913,FOLD,VAN - PASSENGER,3.7,,AS6,E,17.76 L/100km,1.38 L/10km,14.72 MPG (AS),390
914,GONDA,COMPACT,,na,AV,X,19.12 km per L,8.25 L/100 km,35.69 MPG (AS),313.3155483
915,RYUNDAI,SUV - SMALL,2.4,4,A6,X,10.51 MPG (AS),11.88 liters per 100 km,17.66 L/100km,225
916,FOLD,PICKUP TRUCK - STANDARD,2.7,,AS10,X,34.42 L/100 km,4.29 L/100 km,20.86 liters per 100 km,286
917,FOLD,PICKUP TRUCK - STANDARD,5,,A6,X,11.04 liters per 100 km,18.82 km per L,8.46 L/100 km,349
918,KIO,FULL-SIZE,not-recorded,4,,X,1.03 L/10km,8.12 km per L,11.20 L/100km,188
919,FOLKSWA,COMPACT,1.4,4,AM7,Z,10.60 km per L,0.17 L/10km,0.60 L/10km,180
920,FOLKSWA,COMPACT,3.6,,A6,Z,23.41 MPG (AS),80.80 km per L,38.66 MPG (AS),288
921,KIO,MINIVAN,,8,AS6,X,10.69 liters per 100 km,144.55 MPG (AS),6.61 L/100 km,281
922,FOLD,MID-SIZE,,4,AS6,X,13.40 km per L,8.22 L/100 km,7.80 liters per 100 km,212
923,FIAR,MINICOMPACT,,4,M5,X,0.13 L/10km,7.89 km/L,6.41 liters per 100 km,154
924,DOGE,MID-SIZE,2.5,4,M6,Z,9.98 mpg Imp.,2.70 L/100 km,16.79 L/100 km,392
925,DOGE,MID-SIZE,2,4,A6,X,14.67 L/100km,15.85 km/L,9.17 km/L,194
926,LECUS,not-available,3.5,,AV6,Z,10.96 km/L,45.11 MPG (AS),31.93 MPG (AS),200
927,BMV,MID-SIZE,3.5,6,AS8,Z,1.29 L/10km,10.71 L/100km,23.70 mpg Imp.,215
928,BMV,TWO-SEATER,2,4,M6,Z,4.51 L/100 km,8.01 L/100km,38.66 MPG (AS),211
929,TOYOTI,MID-SIZE,,4,-1,X,2.02 L/10km,7.73 km per L,5.91 km per L,180
930,LAND CRAWLER,SUV - STANDARD,1.6,4,AS8,E,29.75 mpg Imp.,17.11 mpg Imp.,7.90 km per L,270
931,TOYOTI,COMPACT,1.5,4,AV,X,106.25 km per L,0.48 L/100km,0.73 liters per 100 km,156
932,LAND CRAWLER,SUV - SMALL,2,4,AS9,Z,2.39 L/10km,0,5.10 km/L,226
933,FOLD,SUV - SMALL,1.6,4,AS6,X,41.62 mpg Imp.,12.10 L/100km,30.78 mpg Imp.,222
934,FOLKSWA,STATION WAGON - SMALL,1.8,,M5,X,81.78 km/L,11.19 km per L,50.12 MPG (AS),200
935,NIRRAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,17.08 km per L,15.53 L/100km,9999,425
936,DOGE,MINIVAN,3.6,,A6,X,3.79 km/L,3.97 km per L,25.83 L/100km,272
937,LECUS,SUV - STANDARD,2,4,AS8,Z,5.69 L/100km,6.50 km/L,1.01 L/10km,344
938,LECUS,COMPACT,,,AS8,Z,32.45 liters per 100 km,11.22 liters per 100 km,22.90 liters per 100 km,303
939,FOLD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,,2.59 L/100km,11.84 L/100km,354
940,JIPU,SUV - SMALL,not-available,unestablished,A6,X,9.23 L/100 km,94.82 mpg Imp.,15.59 km per L,251
941,FOLKSWA,STATION WAGON - SMALL,2,4,AS6,X,6.11 L/100km,1.17 L/10km,0.86 L/10km,191
942,BMV,COMPACT,3,6,A8,Z,16.08 MPG (AS),27.57 mpg Imp.,7.90 km/L,225
943,RYUNDAI,SUV - SMALL,2.4,4,AS6,X,9.35 mpg Imp.,24.83 km per L,18.42 liters per 100 km,225
944,BMV,COMPACT,3,6,AS8,Z,37.13 km per L,21.98 km/L,3.53 L/100km,220
945,FOLD,FULL-SIZE,2,4,AV,X,8.03 L/100km,7.55 L/100 km,7.81 L/100 km,131
946,FOLD,SUBCOMPACT,5.8,8,M6,Z,5.73 km per L,24.67 MPG (AS),13.89 liters per 100 km,449.6072546
947,JIPU,SUV - SMALL,3.6,6,M6,X,0.74 L/10km,10.53 km per L,8.34 L/100km,338
948,FIAR,TWO-SEATER,4.4,8,A6,X,10.71 L/100 km,12.25 L/100km,11.41 L/100 km,267.217779
949,CHEVO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,10.46 MPG (AS),0.53 L/10km,14.73 L/100km,317
950,TOYOTI,MID-SIZE,,4,AS8,X,19.39 mpg Imp.,14.09 liters per 100 km,14.35 L/100 km,193
951,BMV,MID-SIZE,,8,AS8,Z,2.36 L/10km,-1,4.83 km per L,299
952,KIO,MID-SIZE,2.4,4,AS6,X,8.06 L/100km,37.26 mpg Imp.,7.84 L/100 km,218
953,JIPU,SUV - SMALL,2.4,4,A9,E,17.67 L/100km,9.15 km/L,6.83 km/L,209
954,MITSU,SUV - SMALL,2,4,M5,X,not-available,47.40 MPG (AS),12.20 L/100km,210
955,FIAR,MINICOMPACT,,4,M5,X,20.06 km per L,8.98 liters per 100 km,6.78 liters per 100 km,171
956,DOGE,FULL-SIZE,6.2,,A8,Z,2.01 L/100 km,1.65 L/10km,8.55 L/100 km,444
957,FOLD,PICKUP TRUCK - STANDARD,5,,AS6,E,17.14 liters per 100 km,11.59 L/100km,14.64 liters per 100 km,308
958,CADILUXE,FULL-SIZE,3.6,6,AS6,not-available,13.08 liters per 100 km,8.50 L/100 km,11.02 L/100 km,248
959,DOGE,MID-SIZE,2.4,4,unspecified,X,10.81 km per L,12.44 mpg Imp.,18.46 mpg Imp.,214
960,ASURA,MID-SIZE,3.5,6,AM7,Z,-9999,4.16 liters per 100 km,0.63 L/10km,198
961,FOLD,COMPACT,2,4,M5,X,11.47 km/L,0.49 L/10km,7.02 L/100 km,189
962,LECUS,COMPACT,5,8,AS8,Z,2.78 L/100 km,10.82 km/L,17.58 km/L,289
963,MITSU,SUV - SMALL,3,,AS6,Z,10.32 MPG (AS),10.10 mpg Imp.,3.98 km/L,230
964,LAMBOGI,TWO-SEATER,2.7,4,AM7,Z,78.56 MPG (AS),5.19 km per L,22.79 MPG (AS),491.9125595
965,FOLD,COMPACT,3.5,-1,AS6,X,17.55 MPG (AS),169.11 km per L,0.76 L/10km,179
966,DOGE,MINIVAN,3.6,6,A6,E,21.74 mpg Imp.,8.97 km per L,12.16 liters per 100 km,273
967,TOYOTI,SUV - STANDARD,4,6,AS5,X,38.79 MPG (AS),20.33 mpg Imp.,9.59 L/100 km,303
968,GONDA,STATION WAGON - SMALL,1.5,unspecified,M6,X,62.30 mpg Imp.,13.26 km per L,5.89 L/100 km,163
969,DOGE,FULL-SIZE,3.6,,A8,X,0.20 L/10km,7.31 liters per 100 km,0.44 L/10km,234
970,TOYOTI,PICKUP TRUCK - SMALL,3.5,6,M6,unspecified,20.97 L/100 km,,15.49 mpg Imp.,297
971,RYUNDAI,FULL-SIZE,2,4,AS8,X,147.14 MPG (AS),27.55 liters per 100 km,zero,214
972,CHEVO,PICKUP TRUCK - SMALL,2.5,4,M6,X,2.77 km per L,0.18 L/10km,20.67 liters per 100 km,263
973,BMV,SUBCOMPACT,3,6,AS8,Z,37.12 km per L,2.46 L/100km,2.59 liters per 100 km,294.5011263
974,TOYOTI,MID-SIZE,3.5,6,AS6,X,18.38 km/L,1.99 L/100 km,60.54 MPG (AS),217
975,BMV,FULL-SIZE,3,,AS8,Z,22.09 MPG (AS),20.98 mpg Imp.,8.39 km per L,261
976,KIO,SUV - SMALL,2.4,4,AS6,X,671.68 mpg Imp.,zero,16.15 km/L,238
977,CHEVO,PICKUP TRUCK - STANDARD,2.4,-1,A6,,21.12 MPG (AS),5.04 km per L,15.06 L/100km,294
978,NIRRAN,PICKUP TRUCK - SMALL,4,not-recorded,A5,X,9.35 liters per 100 km,8.05 L/100km,8.77 L/100 km,307
979,DOGE,,6.4,8,A8,Z,59.81 mpg Imp.,19.36 mpg Imp.,9.16 L/100 km,427.6670518
980,CHEVO,SUBCOMPACT,1.8,4,AS8,Z,27.18 L/100km,0,11.30 mpg Imp.,223
981,NIRRAN,STATION WAGON - SMALL,1.6,not-recorded,M6,X,52.34 MPG (AS),5.55 L/100km,4.97 L/100 km,127
982,KIO,MID-SIZE,1.8,4,M6,X,20.47 MPG (AS),1.09 L/10km,11.24 L/100 km,186
983,CHEVO,MID-SIZE,1.4,4,M6,X,2.66 L/10km,160.92 mpg Imp.,6.49 km/L,190
984,LECUS,SUV - SMALL,2,4,AS6,Z,36.46 MPG (AS),not-available,5.11 liters per 100 km,230
985,CHEVO,COMPACT,3.6,6,M6,X,15.41 km/L,20.48 mpg Imp.,28.89 mpg Imp.,269
986,FOLD,FULL-SIZE,1.4,4,AV,X,5.08 liters per 100 km,2.38 L/100 km,3.87 L/100km,177
987,BMV,SUV - STANDARD,4.4,8,A8,unknown,1.83 km/L,8.05 km per L,3.56 L/10km,333
988,KIO,MID-SIZE,1.8,unspecified,AS6,X,17.14 L/100km,0.20 liters per 100 km,0.95 L/10km,150
989,NIRRAN,STATION WAGON - SMALL,2,4,AV7,X,15.56 L/100km,11.44 km per L,8.01 km/L,490.6437313
990,FOLKSWA,COMPACT,2,not-recorded,A6,Z,32.28 L/100km,47.42 km/L,15.10 mpg Imp.,220
991,KIO,COMPACT,2,4,AS6,X,17.82 L/100km,1.20 L/100km,27.33 mpg Imp.,207
992,TOLVO,STATION WAGON - SMALL,3,6,AS6,X,not-available,19.09 liters per 100 km,5.40 km/L,264
993,FOLD,SUBCOMPACT,unknown,4,M6,X,4.54 km per L,51.26 mpg Imp.,zero,222
994,FOLD,SUBCOMPACT,2.3,4,AS6,X,17.73 L/100km,11.33 L/100km,6.73 km per L,216
995,MATSUDA,SUV - SMALL,2.5,4,AS6,X,35.06 MPG (AS),1.42 L/10km,23.31 MPG (AS),221
996,FOLKSWA,COMPACT,1.8,4,M5,X,3.74 L/100km,22.78 MPG (AS),14.91 km/L,199
997,CHEVO,MID-SIZE,2.5,4,AS6,X,1.72 liters per 100 km,8.72 L/100km,,208
998,CHEVO,PICKUP TRUCK - SMALL,2.5,4,A6,X,10.17 km per L,0.22 L/10km,36.78 MPG (AS),262
999,TOLVO,SUV - SMALL,3.2,6,AS6,X,2.73 km/L,116.67 mpg Imp.,2.12 L/10km,280
1000,LECUS,COMPACT,3.5,6,AS8,Z,30.26 liters per 100 km,6.56 L/100 km,1.96 L/10km,240
1001,CHEVO,SUV - SMALL,1.4,4,AS6,X,6.15 km/L,0.34 L/10km,9.54 km/L,201
1002,FOLD,SUV - SMALL,2.5,4,AS6,X,8.57 MPG (AS),43.04 mpg Imp.,5.54 km/L,222
1003,CHEVO,PICKUP TRUCK - SMALL,5,8,A6,D,309.35 mpg Imp.,2.90 km/L,17.61 mpg Imp.,290
1004,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,24.26 L/100km,10.60 mpg Imp.,3.95 km/L,390
1005,CHEVO,SUBCOMPACT,1.4,4,AV,X,90.57 MPG (AS),6.71 km/L,34.72 mpg Imp.,165
1006,NIRRAN,PICKUP TRUCK - STANDARD,,,A5,X,6.35 km/L,15.54 L/100 km,6.39 km/L,436
1007,LECUS,MID-SIZE,3.5,,AS6,X,5.05 liters per 100 km,47.73 MPG (AS),0.50 L/10km,221
1008,FOLKSWA,STATION WAGON - SMALL,-1,4,M6,D,21.20 L/100 km,2.98 L/100km,13.00 liters per 100 km,200
1009,FOLD,SUBCOMPACT,2.5,4,M6,X,16.14 L/100 km,10.85 km per L,not-available,336
1010,TOLVO,unestablished,2,4,AS8,Z,0.62 L/10km,8.12 km/L,8.98 L/100 km,209
1011,BMV,MID-SIZE,,4,AS8,Z,15.38 km/L,8.97 liters per 100 km,0.76 L/10km,206
1012,CHEVO,MID-SIZE,2,4,A9,Z,17.65 km/L,20.10 L/100km,12.16 L/100km,211
1013,NIRRAN,STATION WAGON - MID-SIZE,3.5,6,AV7,X,9.18 liters per 100 km,32.77 mpg Imp.,26.34 MPG (AS),219
1014,GONDA,FULL-SIZE,1.5,4,AV7,X,0.53 L/10km,30.67 MPG (AS),37.06 MPG (AS),179
1015,FOLD,PICKUP TRUCK - STANDARD,3,6,AS10,D,4.09 km per L,1.76 L/10km,4.68 km/L,266
1016,FOLD,SUBCOMPACT,1.6,4,M5,X,6.68 MPG (AS),9.20 L/100km,23.49 liters per 100 km,188
1017,BMV,SUV - SMALL,2,4,AS8,Z,4.76 km per L,0.47 L/10km,1.37 L/10km,222
1018,CHEVO,PICKUP TRUCK - SMALL,4.4,8,A8,X,7.85 km per L,4.21 L/100 km,0.89 L/10km,297
1019,KIO,FULL-SIZE,2,4,AS6,X,24.10 mpg Imp.,,0.82 L/10km,195
1020,MATSUDA,MID-SIZE,2.5,4,AS6,X,7.53 km/L,1.17 L/100km,12.77 km/L,190
1021,TOYOTI,PICKUP TRUCK - STANDARD,1.6,4,AS6,X,8.05 L/100 km,47.85 L/100 km,3.85 km/L,356
1022,FOLD,SUV - STANDARD,3.5,6,,X,2.47 L/10km,7.09 liters per 100 km,5.95 km per L,309
1023,NIRRAN,STATION WAGON - SMALL,1.6,4,AV8,Z,7.27 L/100km,134.06 MPG (AS),20.89 km/L,212
1024,DOGE,FULL-SIZE,1.4,4,A5,X,5.59 liters per 100 km,-9999,3.92 L/100km,246
1025,BARUSU,COMPACT,2,4,M6,Z,0.94 L/10km,16.16 liters per 100 km,8.03 km per L,234
1026,LECUS,MID-SIZE,2,4,AS8,Z,19.11 mpg Imp.,7.06 km per L,14.51 L/100km,221
1027,LAMBOGI,TWO-SEATER,5.2,10,unknown,Z,28.44 L/100km,20.90 mpg Imp.,21.72 liters per 100 km,393
1028,NIRRAN,TWO-SEATER,3,6,AS7,Z,38.20 L/100 km,25.48 L/100 km,32.47 L/100 km,278
1029,TOYOTI,PICKUP TRUCK - SMALL,2.7,4,A4,X,30.29 MPG (AS),19.66 mpg Imp.,26.31 mpg Imp.,258
1030,MATSUDA,MID-SIZE,2.5,4,M6,X,12.23 L/100 km,10.61 L/100 km,20.45 MPG (AS),190
1031,JIPU,SUV - SMALL,2.4,4,A9,E,10.33 L/100 km,9.51 km per L,9.60 km/L,233
1032,FOLD,SUBCOMPACT,2.3,4,AS6,X,113.55 km/L,14.75 L/100 km,14.04 km/L,204
1033,FOLD,SUV - STANDARD,2,4,AS6,X,7.75 km per L,8.27 L/100km,9.24 km/L,315
1034,CHEVO,SUV - SMALL,3.6,6,A6,X,29.82 L/100 km,0.43 L/10km,1.83 L/10km,324
1035,TOYOTI,MID-SIZE,2.5,4,AV,X,10.84 km/L,10.20 km per L,0.95 L/10km,159
1036,RYUNDAI,MID-SIZE,2,4,not-recorded,X,3.37 km/L,25.53 km per L,18.10 L/100 km,168
1037,FOLD,TWO-SEATER,,4,AM7,Z,19.22 mpg Imp.,20.21 L/100km,17.18 L/100 km,398
1038,FOLD,PICKUP TRUCK - STANDARD,1.8,4,AS6,X,18.53 L/100km,12.32 liters per 100 km,15.74 L/100km,437
1039,MITSU,COMPACT,2,4,AM6,Z,18.89 L/100 km,11.53 MPG (AS),14.44 mpg Imp.,293
1040,CHEVO,SUV - STANDARD,3.6,6,AS9,X,14.34 L/100 km,0.43 L/10km,10.20 km per L,249
1041,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,0,0.52 liters per 100 km,55.49 mpg Imp.,230
1042,CHEVO,TWO-SEATER,5.3,8,M7,Z,11.77 liters per 100 km,2.54 L/10km,15.76 mpg Imp.,295
1043,CHEVO,MID-SIZE,1.6,4,M6,D,2.24 L/10km,4.95 L/100km,16.15 MPG (AS),175
1044,FOLKSWA,SUV - SMALL,2,4,AS8,X,6.83 L/10km,8.71 km/L,2.34 km per L,276
